open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3340.4,3368.63,3337.42,3363.45,393233806.0,000001.SH,20250529,NA,NA,CNY
3358.81,3361.28,3341.65,3347.49,385602170.0,000001.SH,20250530,NA,NA,CNY
3340.07,3367.0,3340.07,3361.98,398060772.0,000001.SH,20250603,NA,NA,CNY
3363.39,3379.64,3363.39,3376.2,386494643.0,000001.SH,20250604,NA,NA,CNY
3378.22,3387.76,3371.15,3384.1,406252093.0,000001.SH,20250605,NA,NA,CNY
3384.29,3391.45,3379.76,3385.36,380122886.0,000001.SH,20250606,NA,NA,CNY
3388.78,3402.05,3383.07,3399.77,427347947.0,000001.SH,20250609,NA,NA,CNY
3402.01,3406.45,3365.67,3384.82,481618568.0,000001.SH,20250610,NA,NA,CNY
3385.46,3413.51,3385.46,3402.32,424090313.0,000001.SH,20250611,NA,NA,CNY
3397.97,3408.2,3388.87,3402.66,409490610.0,000001.SH,20250612,NA,NA,CNY
3397.48,3401.55,3370.59,3377.0,510065221.0,000001.SH,20250613,NA,NA,CNY
3369.37,3389.76,3368.88,3388.73,405383278.0,000001.SH,20250616,NA,NA,CNY
3388.18,3393.31,3376.42,3387.4,390012447.0,000001.SH,20250617,NA,NA,CNY
3386.14,3391.71,3369.99,3388.81,378684891.0,000001.SH,20250618,NA,NA,CNY
3384.29,3386.92,3353.94,3362.11,415327655.0,000001.SH,20250619,NA,NA,CNY
3358.91,3370.8,3357.71,3359.9,350223662.0,000001.SH,20250620,NA,NA,CNY
3349.46,3389.45,3347.65,3381.58,384561397.0,000001.SH,20250623,NA,NA,CNY
3380.08,3423.78,3380.08,3420.57,460963800.0,000001.SH,20250624,NA,NA,CNY
3419.09,3459.01,3417.41,3455.97,509384064.0,000001.SH,20250625,NA,NA,CNY
3451.72,3462.75,3446.19,3448.45,496541077.0,000001.SH,20250626,NA,NA,CNY
3450.69,3462.63,3421.04,3424.23,523129432.0,000001.SH,20250627,NA,NA,CNY
3423.47,3447.46,3420.11,3444.43,457348049.0,000001.SH,20250630,NA,NA,CNY
3445.85,3459.59,3441.04,3457.75,444356739.0,000001.SH,20250701,NA,NA,CNY
3458.17,3461.33,3447.96,3454.79,498116776.0,000001.SH,20250702,NA,NA,CNY
3456.15,3463.62,3446.97,3461.15,438543465.0,000001.SH,20250703,NA,NA,CNY
3459.59,3497.22,3455.49,3472.32,500195210.0,000001.SH,20250704,NA,NA,CNY
3467.98,3474.8,3462.79,3473.13,436631340.0,000001.SH,20250707,NA,NA,CNY
3474.63,3499.89,3474.63,3497.48,493484773.0,000001.SH,20250708,NA,NA,CNY
3498.72,3512.67,3491.2,3493.05,523920088.0,000001.SH,20250709,NA,NA,CNY
3491.5,3526.59,3491.5,3509.68,564159805.0,000001.SH,20250710,NA,NA,CNY
3511.37,3555.22,3506.8,3510.18,664185249.0,000001.SH,20250711,NA,NA,CNY
3513.25,3532.12,3513.25,3519.65,572084705.0,000001.SH,20250714,NA,NA,CNY
3519.81,3527.04,3483.38,3505.0,572074726.0,000001.SH,20250715,NA,NA,CNY
3502.9,3511.81,3489.14,3503.78,470878578.0,000001.SH,20250716,NA,NA,CNY
3500.37,3517.28,3499.19,3516.83,472211056.0,000001.SH,20250717,NA,NA,CNY
3519.48,3536.01,3518.23,3534.48,493484088.0,000001.SH,20250718,NA,NA,CNY
3542.82,3560.63,3542.57,3559.79,633649736.0,000001.SH,20250721,NA,NA,CNY
3561.63,3584.72,3547.25,3581.86,716155230.0,000001.SH,20250722,NA,NA,CNY
3588.88,3613.02,3577.59,3582.3,767672388.0,000001.SH,20250723,NA,NA,CNY
3578.91,3608.73,3577.11,3605.73,773265835.0,000001.SH,20250724,NA,NA,CNY
3604.45,3610.03,3586.22,3593.66,697189549.0,000001.SH,20250725,NA,NA,CNY
3594.23,3606.27,3582.15,3597.94,594187877.0,000001.SH,20250728,NA,NA,CNY
3595.81,3611.35,3585.94,3609.71,610642058.0,000001.SH,20250729,NA,NA,CNY
3608.35,3636.17,3593.73,3615.72,637221916.0,000001.SH,20250730,NA,NA,CNY
3604.7,3606.37,3562.61,3573.21,654509349.0,000001.SH,20250731,NA,NA,CNY
3568.26,3581.75,3550.04,3559.95,509563080.0,000001.SH,20250801,NA,NA,CNY
3547.16,3583.31,3547.16,3583.31,458573618.0,000001.SH,20250804,NA,NA,CNY
3588.81,3617.6,3586.97,3617.6,499797780.0,000001.SH,20250805,NA,NA,CNY
3615.81,3634.31,3613.99,3633.99,512467273.0,000001.SH,20250806,NA,NA,CNY
3637.78,3645.12,3622.52,3639.67,535501202.0,000001.SH,20250807,NA,NA,CNY
3634.85,3645.37,3625.45,3635.13,526407572.0,000001.SH,20250808,NA,NA,CNY
3637.05,3656.85,3629.63,3647.55,551393348.0,000001.SH,20250811,NA,NA,CNY
3647.96,3669.04,3647.96,3665.92,536623739.0,000001.SH,20250812,NA,NA,CNY
3668.66,3688.63,3666.55,3683.46,613528884.0,000001.SH,20250813,NA,NA,CNY
3685.52,3704.77,3662.57,3666.44,647829587.0,000001.SH,20250814,NA,NA,CNY
3659.81,3702.26,3658.38,3696.77,678521703.0,000001.SH,20250815,NA,NA,CNY
3712.5,3745.94,3702.38,3728.03,776016669.0,000001.SH,20250818,NA,NA,CNY
3728.49,3746.67,3718.15,3727.29,696099750.0,000001.SH,20250819,NA,NA,CNY
3716.68,3767.43,3704.99,3766.21,679836426.0,000001.SH,20250820,NA,NA,CNY
3770.68,3787.98,3757.99,3771.1,691552959.0,000001.SH,20250821,NA,NA,CNY
3772.28,3825.76,3772.28,3825.76,698136277.0,000001.SH,20250822,NA,NA,CNY
3848.16,3883.56,3839.97,3883.56,885474802.0,000001.SH,20250825,NA,NA,CNY
3871.47,3888.6,3859.76,3868.38,734565305.0,000001.SH,20250826,NA,NA,CNY
3869.61,3887.2,3800.35,3800.35,858633499.0,000001.SH,20250827,NA,NA,CNY
3796.71,3845.09,3761.42,3843.6,788351947.0,000001.SH,20250828,NA,NA,CNY
3842.82,3867.61,3839.21,3857.93,739462366.0,000001.SH,20250829,NA,NA,CNY
3869.75,3879.05,3853.66,3875.53,747709536.0,000001.SH,20250901,NA,NA,CNY
3877.09,3885.31,3828.68,3858.13,762618833.0,000001.SH,20250902,NA,NA,CNY
3865.29,3868.39,3794.88,3813.56,645668510.0,000001.SH,20250903,NA,NA,CNY
3807.76,3808.4,3732.84,3765.88,710227933.0,000001.SH,20250904,NA,NA,CNY
3761.88,3817.16,3745.31,3812.51,626223380.0,000001.SH,20250905,NA,NA,CNY
3811.67,3833.14,3803.6,3826.84,660066898.0,000001.SH,20250908,NA,NA,CNY
3816.66,3834.67,3791.72,3807.29,600239380.0,000001.SH,20250909,NA,NA,CNY
3806.58,3827.0,3794.06,3812.22,534539825.0,000001.SH,20250910,NA,NA,CNY
